Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Aalst;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;944;944;944;;944;;944;;944;;944;;944;;944;
Aalter (vanaf 2019);;;;;;;;;;;;882;900;;900;;900;;900;;900;;900;;975;
Aalter (t/m 2018);1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;;;;;;;;;;;;;;;
Aarschot;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;944,58;944,58;944,58;;944,58;;944,58;;944,58;;944,58;;944,58;;944,58;
Aartselaar;700;700;700;700;700;800;800;800;800;800;504;504;680;;680;;680;;680;;680;;680;;795;
Affligem;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;785;785;785;;785;;785;;785;;785;;785;;785;
Alken;1550;1450;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;925;
Alveringem;2250;2250;2250;2250;2250;2250;2250;2250;2250;2250;1417;1417;1417;;1417;;1417;;1417;;1417;;1417;;1417;
Antwerpen (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;850;3 categorieën: 850 / 0 / 787;850;2 categorieën: 850 / 0
Antwerpen (t/m 2024);1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;2 categorieën: 850 / 0;;;;
Anzegem;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1102;1102;1102;;1102;;1152;;1152;;1152;;1152;;1152;
Ardooie;950;950;950;950;950;950;950;950;950;950;598;598;598;;598;;598;;598;;598;;598;;598;
Arendonk;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
As;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;630;630;630;;630;;630;;630;;630;;630;;630;
Asse;950;950;950;950;950;950;950;950;950;950;598;786;786;;786;;786;;786;;786;;786;;786;
Assenede;1175;1175;1175;1175;1175;1175;1300;1300;1300;1300;818;818;818;;818;;818;;818;;818;;818;;818;
Avelgem;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1259;1259;1259;;1259;;1259;;1259;;1259;;1259;;1259;
Baarle-Hertog;1305;1305;1330;1340;1340;1340;1356;1393;1397;1397;879,72;879,72;879,72;;895,91;;896,54;;897,06;;898,52;;898,52;;895,42;
Balen;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;880,67;880,67;880,67;;880,67;;880,67;;880,67;;880,67;;880,67;;880,67;
Beernem;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;1080;;1080;;1080;;1080;;1080;;1080;;1080;
Beerse;1200;1200;1200;1200;1200;1200;1200;1390;1390;1390;875;875;875;;875;;875;;875;;875;;875;;875;
Beersel;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;680;680;680;;680;;680;;680;;680;;680;;690;2 categorieën: 690 / 1190
Begijnendijk;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;755,67;755,67;755,67;;755,67;;755,67;;755,67;;755,67;;755,67;;899;
Bekkevoort;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Beringen;1300;1300;1300;1290;1290;1450;1450;1450;1450;1450;913;913;955;;955;;955;;955;;955;;955;;955;
Berlaar;1850;1850;1850;1850;1850;1850;1850;1850;1850;1850;1165;1165;1165;;1165;;1165;;1165;;1165;;1165;;1165;
Berlare;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;690;690;880;;880;;880;;880;;880;;880;;880;
Bertem;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;661;661;661;;661;;661;;661;;661;;661;;661;
Bever;1600;1600;1600;1600;1600;1600;1700;1700;1700;1700;1071;1071;1071;;1071;;1071;;1071;;1071;;1071;;1071;
Beveren (t/m 2024);1200;1200;1200;1200;1200;1200;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;;;;
Beveren-Kruibeke-Zwijndrecht (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;882;2 categorieën: 882 / 1000;882;2 categorieën: 882 / 1000
Bierbeek;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;690;690;690;;690;;690;;690;;690;;690;;690;
Bilzen (t/m 2024);1400;1450;1450;1450;1450;1450;1450;1450;1450;1450;913,1;913,1;970;;970;;970;;970;;970;;;;;
Bilzen-Hoeselt (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;970;;970;
Blankenberge;1745;1745;1745;1745;1745;1745;1745;1745;1745;1745;1099;1099;1099;;1099;;1099;;1099;;1099;;1099;;1099;
Bocholt;1350;1350;1350;1350;1350;1350;1550;1550;1550;1550;976,07;976,07;976,07;;976,07;;976,07;;976,07;;976,07;;976,07;;976,07;
Boechout;1230;1230;1230;1230;1230;1230;1230;1230;1230;1230;775;775;846;;846;;846;;846;;846;;846;;930;2 categorieën: 930 / 975
Bonheiden;1150;1150;1150;1150;1150;1150;1150;1150;1150;1150;724,18;724,18;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;
Boom;1550;1550;1550;1550;1550;1550;1550;1550;1550;1550;976;976;976;;976;;976;;976;;976;;976;;976;
Boortmeerbeek;1150;1150;1150;1150;1150;1150;1150;1150;1150;1150;725;725;725;;725;;725;;725;;725;;850;;850;
Borgloon (t/m 2024);1700;1700;1700;1700;1700;1700;1700;1700;1700;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;;;;
